URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/device-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.425",ProcedureDeviceActionCodes,Procedure Device Action Codes,"Example codes indicating the change that happened to the device during the procedure.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung","SCT"
http://hl7.org/fhir/ValueSet/device-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.208",FHIRDeviceTypes,FHIR Device Types,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung","SCT"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.235",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie,StructureDefinition/mii-pr-lungenfunktion-spirometrie,StructureDefinition/mii-pr-lungenfunktion-provokationstest,StructureDefinition/mii-pr-lungenfunktion-diffusion,StructureDefinition/mii-pr-lungenfunktion-befund","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/diagnostic-service-sections,4.0.1,draft,"2.16.840.1.113883.4.642.3.234",DiagnosticServiceSectionCodes,Diagnostic Service Section Codes,"This value set includes all the codes in HL7 V2 table 0074.","StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie,StructureDefinition/mii-pr-lungenfunktion-spirometrie,StructureDefinition/mii-pr-lungenfunktion-provokationstest,StructureDefinition/mii-pr-lungenfunktion-diffusion,StructureDefinition/mii-pr-lungenfunktion-befund","THO (V2)"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/mii-pr-lungenfunktion-rvl,StructureDefinition/mii-pr-lungenfunktion-gewicht,StructureDefinition/mii-pr-lungenfunktion-kcoc,StructureDefinition/mii-pr-lungenfunktion-spirometrie,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-prozent,StructureDefinition/mii-pr-lungenfunktion-tlc,StructureDefinition/mii-pr-lungenfunktion-irv,StructureDefinition/mii-pr-lungenfunktion-sg-total,StructureDefinition/mii-pr-lungenfunktion-provokationstest,StructureDefinition/mii-pr-lungenfunktion-diffusion,StructureDefinition/mii-pr-lungenfunktion-viskositaet,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung,StructureDefinition/mii-pr-lungenfunktion-va,StructureDefinition/mii-pr-lungenfunktion-r,StructureDefinition/mii-pr-lungenfunktion-vc,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie,StructureDefinition/mii-pr-lungenfunktion-dosis-gabe,StructureDefinition/mii-pr-lungenfunktion-r-spezifisch,StructureDefinition/mii-pr-lungenfunktion-diffusionskapazitaet,StructureDefinition/mii-pr-lungenfunktion-umgebung,StructureDefinition/mii-pr-lungenfunktion-hb,StructureDefinition/mii-pr-lungenfunktion-dlco,StructureDefinition/mii-pr-lungenfunktion-methacholine,StructureDefinition/mii-pr-lungenfunktion-co2-konzentration,StructureDefinition/mii-pr-lungenfunktion-1-viskositaet,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-volumen,StructureDefinition/mii-pr-lungenfunktion-bf,StructureDefinition/mii-pr-lungenfunktion-mef,StructureDefinition/mii-pr-lungenfunktion-rvl-tlc,StructureDefinition/mii-pr-lungenfunktion-dosis,StructureDefinition/mii-pr-lungenfunktion-lufttemperatur,StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-transferkoeffizient,StructureDefinition/mii-pr-lungenfunktion-fev-fvc,StructureDefinition/mii-pr-lungenfunktion-dlcoc,StructureDefinition/mii-pr-lungenfunktion-widerstand,StructureDefinition/mii-pr-lungenfunktion-fluss,StructureDefinition/mii-pr-lungenfunktion-luftfeuchtigkeit,StructureDefinition/mii-pr-lungenfunktion-pef,StructureDefinition/mii-pr-lungenfunktion-ic,StructureDefinition/mii-pr-lungenfunktion-fvc,StructureDefinition/mii-pr-lungenfunktion-befund,StructureDefinition/mii-pr-lungenfunktion-kco,StructureDefinition/mii-pr-lungenfunktion-frc,StructureDefinition/mii-pr-lungenfunktion-fev,StructureDefinition/mii-pr-lungenfunktion-r-effektiv","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/mii-pr-lungenfunktion-umgebung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.332",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","StructureDefinition/mii-pr-lungenfunktion-umgebung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/med-admin-perform-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.349",MedicationAdministration Performer Function Codes,Medication administration  performer  function  codes,"MedicationAdministration Performer Function Codes","StructureDefinition/mii-pr-lungenfunktion-dosis-gabe","THO"
http://hl7.org/fhir/ValueSet/medication-admin-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.347",MedicationAdministration Category Codes,Medication administration  category  codes,"MedicationAdministration Category Codes","StructureDefinition/mii-pr-lungenfunktion-dosis-gabe","THO"
